root	status	url
SWIFT_A2L412_3	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_3/
SWIFT_A2L412_3_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_3_AOL/
SWIFT_A2L412_3_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_3_AZG/
SWIFT_A2L412_3_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_3_RS/
SWIFT_A2L412_3_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_3_SF/
SWIFT_A2L412_A2L310	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L310/
SWIFT_A2L412_A2L310_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L310_2/
SWIFT_A2L412_A2L310_2_A2L412_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L310_2_A2L412_2/
SWIFT_A2L412_A2L310_2_A2L412_3	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L310_2_A2L412_3/
SWIFT_A2L412_A2L310_2_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L310_2_AOL/
SWIFT_A2L412_A2L310_2_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L310_2_AZG/
SWIFT_A2L412_A2L310_2_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L310_2_RS/
SWIFT_A2L412_A2L310_2_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L310_2_SF/
SWIFT_A2L412_A2L310_A2L414	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L310_A2L414/
SWIFT_A2L412_A2L412_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_2/
SWIFT_A2L412_A2L412_2_A2L412_3	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_2_A2L412_3/
SWIFT_A2L412_A2L412_2_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_2_AOL/
SWIFT_A2L412_A2L412_2_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_2_AZG/
SWIFT_A2L412_A2L412_2_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_2_RS/
SWIFT_A2L412_A2L412_2_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_2_SF/
SWIFT_A2L412_A2L412_3	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_3/
SWIFT_A2L412_A2L412_3_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_3_AOL/
SWIFT_A2L412_A2L412_3_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_3_AZG/
SWIFT_A2L412_A2L412_3_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_3_RS/
SWIFT_A2L412_A2L412_3_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L412_3_SF/
SWIFT_A2L412_A2L414	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L414/
SWIFT_A2L412_A2L414_A2L310	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L414_A2L310/
SWIFT_A2L412_A2L414_A2L310_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L414_A2L310_2/
SWIFT_A2L412_A2L414_A2L412_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L414_A2L412_2/
SWIFT_A2L412_A2L414_A2L412_3	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L414_A2L412_3/
SWIFT_A2L412_A2L414_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L414_AOL/
SWIFT_A2L412_A2L414_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L414_AZG/
SWIFT_A2L412_A2L414_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L414_RS/
SWIFT_A2L412_A2L414_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_A2L414_SF/
SWIFT_A2L412_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_AOL/
SWIFT_A2L412_AOL_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_AOL_AZG/
SWIFT_A2L412_AOL_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_AOL_RS/
SWIFT_A2L412_AOL_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_AOL_SF/
