host	path	status	url
dcs.suzuki.hu	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	404	https://dcs.suzuki.hu/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
dcs.suzuki.pl	/	ERR	https://dcs.suzuki.pl/
dcs.suzuki.pl	/robots.txt	ERR	https://dcs.suzuki.pl/robots.txt
dcs.suzuki.pl	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.pl/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.pl	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	ERR	https://dcs.suzuki.pl/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.pl	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	ERR	https://dcs.suzuki.pl/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzuki.pl	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	ERR	https://dcs.suzuki.pl/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
dcs.suzuki.nl	/	ERR	https://dcs.suzuki.nl/
dcs.suzuki.nl	/robots.txt	ERR	https://dcs.suzuki.nl/robots.txt
dcs.suzuki.nl	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.nl/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.nl	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	ERR	https://dcs.suzuki.nl/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.nl	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	ERR	https://dcs.suzuki.nl/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzuki.nl	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	ERR	https://dcs.suzuki.nl/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
dcs.suzuki.cz	/	ERR	https://dcs.suzuki.cz/
dcs.suzuki.cz	/robots.txt	ERR	https://dcs.suzuki.cz/robots.txt
dcs.suzuki.cz	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.cz/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.cz	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	ERR	https://dcs.suzuki.cz/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.cz	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	ERR	https://dcs.suzuki.cz/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzuki.cz	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	ERR	https://dcs.suzuki.cz/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
dcs.suzuki.at	/	200	https://dcs.suzuki.at/
dcs.suzuki.at	/robots.txt	200	https://dcs.suzuki.at/robots.txt
dcs.suzuki.at	/Upload/Downloads/Service/ServiceManuals/	200	https://dcs.suzuki.at/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.at	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	200	https://dcs.suzuki.at/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.at	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	200	https://dcs.suzuki.at/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzuki.at	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	200	https://dcs.suzuki.at/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
dcs.suzuki.be	/	ERR	https://dcs.suzuki.be/
dcs.suzuki.be	/robots.txt	ERR	https://dcs.suzuki.be/robots.txt
dcs.suzuki.be	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.be/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.be	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	ERR	https://dcs.suzuki.be/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.be	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	ERR	https://dcs.suzuki.be/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzuki.be	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	ERR	https://dcs.suzuki.be/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
